id,name,province,nearest_city,elevation_m,basecamp_name,basecamp_access,basecamp_gps_lat,basecamp_gps_lng,summit_gps_lat,summit_gps_lng,distance_one_way_km,distance_round_trip_km,ascent_time_hours,descent_time_hours,num_pos,pos_breakdown,elevation_gain_segments,trail_type,difficulty,risk_level,key_hazards,critical_points,distance_from_surabaya_km,travel_time_from_surabaya_hours,recommended_transport,registration_method,permit_required,access_status,entry_fee_idr,water_sources,camping_area,emergency_shelter,signal_coverage,toilet_warung,environmental_condition,common_issues,reforestation_activity,csr_potential,recommended_conservation,best_time_months,sunrise_sunset_rating,unique_selling_point,crowd_level,minimum_gear,water_requirement_liters,emergency_contact,common_accident_types,offline_map_available,data_reliability,last_updated
kawi,Kawi,East Java,Malang / Blitar,2551,Basecamp Kawi (Desa Wonosari / Desa Ngroto),From Malang via Kepanjen (1.5h); from Blitar side (2h),Unknown,Unknown,Unknown,Unknown,~7,~14,5-7,3-5,4,Unknown — limited trail documentation,Unknown,Dense forest; some open ridge near summit,Intermediate,Medium,Dense forest (easy to lose trail); steep sections; limited trail markers; cold and windy summit,Forest section: poorly marked; summit approach: steep and slippery,120,3-4,Car/motorbike,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Springs at lower elevations; unreliable above Pos 2,Flat areas at Pos 2-3; summit area limited,None,Unknown,Basecamp only,Unknown,Trail markers overgrown; limited documentation,Unknown,Medium,Trail marking and maintenance; forest monitoring,May-October,3,Quiet alternative to Arjuno; dense primary forest experience; views of Kelud and Arjuno from summit,Low,3-season tent; sleeping bag; trekking poles; GPS device; rain gear; headlamp,3,Unknown,Lost trail; slips on wet terrain,Unknown,Low,2024
anjasmoro,Anjasmoro,East Java,Mojokerto / Jombang,2282,Basecamp via Tretes / Wonosunyo,From Mojokerto via Trawas area (1h),Unknown,Unknown,Unknown,Unknown,~8,~16,5-7,3-5,Unknown,Unknown,Unknown,Forest; some open areas,Intermediate,Low,Dense forest navigation; slippery trail in wet season,Unknown,70,1.5-2,Car/motorbike,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Unknown,Unknown,None,Unknown,Unknown,Unknown,Limited trail documentation and markers,Unknown,Medium,Trail documentation and mapping; forest monitoring,May-October,Unknown,Quiet forest hike near Surabaya; relatively easy access for intermediate hikers,Low,Day pack or tent; sleeping bag; rain gear; GPS device,3,Unknown,Lost trail; slips,Unknown,Low,2024
wilis,Wilis,East Java,Madiun / Kediri / Nganjuk,2169,Basecamp Ngliman (Nganjuk) / Basecamp Kare (Madiun),Ngliman: from Nganjuk (1.5h); Kare: from Madiun (1.5h),Unknown,Unknown,Unknown,Unknown,~8-10,~16-20,5-7,4-5,3-4,Unknown — varies by access route,Unknown,Forest; plantation (coffee/clove at lower altitudes); open ridge,Intermediate,Medium,Multiple peaks can cause confusion; dense fog; cold at night; some steep sections,Ridge between multiple peaks: navigation challenge,150,3-4,Car/motorbike to basecamp,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Springs at lower elevations; carry your own for upper sections,Clearing near summit ridge,None,Intermittent at lower elevations; none near summit,Basecamp only,Moderate,Illegal logging; trail erosion; plantation encroachment on forest,Unknown,High,Anti-logging enforcement; forest boundary protection; community forestry program,May-October,3,Multi-peak complex with varied routes; coffee/clove plantation scenery at lower elevations; quiet and uncrowded,Low,3-season tent; sleeping bag; trekking poles; rain gear; GPS device,3-4,Unknown,Lost trail; slips; hypothermia,Unknown,Low,2024
liman,Liman,East Java,Nganjuk / Madiun,2563,Basecamp Ngliman (shared with Wilis access),From Nganjuk via Ngliman village (1.5h),Unknown,Unknown,Unknown,Unknown,~12,~24,7-9,5-7,Unknown,Unknown,Unknown,Dense forest; ridge traverse,Intermediate,Medium,Long trail; limited water; dense forest navigation; isolation,Unknown,160,3.5-4,Car/motorbike,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Unknown,Unknown,None,Unknown,Basecamp only,Unknown,Trail rarely maintained; limited information,Unknown,Medium,Trail mapping and documentation; forest conservation baseline survey,May-October,Unknown,Highest peak in Wilis-Liman complex; rarely summited; for experienced hikers seeking solitude,Low,3-season tent; sleeping bag; GPS device; machete; full food supply; trekking poles,4-5,Unknown,Lost trail; dehydration,Unknown,Low,2024
kelud,Kelud,East Java,Kediri / Blitar,1731,Basecamp Kelud (post-2014 eruption access),From Kediri via Sugihwaras (1h); from Blitar (1.5h),Unknown,Unknown,Unknown,Unknown,~5,~10,3-4,2-3,2-3,Unknown — trail changed significantly after 2014 eruption,Unknown,Volcanic debris field; lava dome; some forest regrowth,Beginner,High,"Active volcano (major eruptions in 1990, 2007, 2014); unstable terrain post-eruption; volcanic gas; sudden eruptions",Crater area: active lava dome created in 2014; unstable ground,130,3-3.5,Car/motorbike,Gate registration; check PVMBG volcanic status before departure,Conditional — closed during elevated volcanic alert levels,conditional,Unknown,None on trail — carry all,Not recommended (volcanic risk),Observation bunkers at lower elevation,Telkomsel available at lower areas,Gate area only,Recovering,Post-eruption landscape recovery; unstable volcanic terrain; sand mining activity,Yes — natural regrowth monitoring; some community planting post-2014,High,Post-eruption ecosystem recovery monitoring; community disaster preparedness; reforestation of blast zone; sand mining regulation advocacy,May-October (check PVMBG status: Level I only),3,Dramatically transformed landscape post-2014 eruption; new lava dome visible; lesson in volcanic disaster and recovery; historically one of Java's most dangerous volcanoes,Medium,Day pack; 2L water; mask (dust/gas); sturdy shoes; check PVMBG alert level,2,PVMBG Kelud observation post; BASARNAS Kediri,Respiratory irritation from dust/gas; slips on volcanic debris; heat exposure,Unknown,Medium,2024
lemongan,Lemongan,East Java,Lumajang / Klakah,1651,Basecamp Klakah / Ranu Klakah area,From Lumajang via Klakah (1h),Unknown,Unknown,Unknown,Unknown,~5,~10,3-4,2-3,Unknown,Unknown,Unknown,Forest; volcanic terrain,Intermediate,Low,Dense forest; limited trail markers; occasional volcanic activity history,Unknown,160,3.5-4,Car/motorbike,Unknown,Unknown,open,Unknown,Ranu Klakah lake at base; unknown on trail,Unknown,None,Unknown,Klakah village,Unknown,Very limited trail documentation,Unknown,Low,Trail documentation and mapping needed; baseline environmental survey,May-October,Unknown,Ranu Klakah lake at base; quiet and rarely visited; near Semeru area,Low,Day pack; GPS device; rain gear; sufficient water,3,Unknown,Lost trail,Unknown,Low,2024
pundak,Pundak,East Java,Mojokerto / Pacet,1585,Basecamp Pacet / Trawas area,From Mojokerto via Pacet (45 min),Unknown,Unknown,Unknown,Unknown,~4,~8,2-3,1.5-2,2,Unknown,Unknown,Forest; open meadow near summit,Beginner,Low,Slippery in wet season; some steep sections,None significant,55,1.5,Car/motorbike,Basecamp registration (offline),No (entry fee at gate),open,5000-10000 (estimate),Carry your own,Summit meadow area,None,Good (close to Pacet town),Basecamp area,Moderate,Trash from weekend hikers,Unknown,Medium,Weekend cleanup campaigns; waste bin placement at trail points,Year-round,3,Closest quick hike to Surabaya/Sidoarjo; beginner-friendly; pleasant meadow summit,Medium,Day pack; 1L water; comfortable shoes,1.5,Unknown,Minor slips,Unknown,Low,2024
ranti,Ranti,East Java,Bondowoso / Banyuwangi,2664,Via Ijen/Paltuding area,From Bondowoso via Sempol; access from Ijen area,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Forest; volcanic terrain,Intermediate,Medium,Part of Ijen volcanic complex; limited trail information; dense forest,Unknown,260,5-6,Car/motorbike,Unknown — coordinate with local guides,Unknown,open,Unknown,Unknown,Unknown,None,Unknown,None,Unknown,Very limited documentation; rarely climbed,Unknown,Low,Baseline survey needed; Ijen complex integrated conservation planning,May-October,Unknown,Part of Ijen volcanic complex; remote and rarely visited; for peak-baggers and explorers,Low,Full overnight kit; GPS device; local guide strongly recommended,4,BASARNAS Bondowoso,Lost trail,Unknown,Low,2024
merapi-ungup,Merapi (Ijen Complex),East Java,Bondowoso,2800,Via Sempol / Paltuding,From Bondowoso via Sempol; or from Ijen Paltuding area,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Volcanic terrain; forest,Advanced,High,Active volcanic complex; sulfur gas; poorly documented trail; isolation,Volcanic gas zones; unstable terrain,260,5-6,Car/motorbike to Sempol area,Unknown — local guide mandatory,Unknown,open,Unknown,Unknown,Unknown,None,Unknown,None,Unknown,Volcanic gas exposure risk; no established trail documentation,Unknown,Low,Volcanic monitoring integration; Ijen complex conservation planning,May-September,Unknown,Part of Ijen caldera system; extreme adventure for experienced mountaineers; virtually unvisited,Low,Full expedition kit; gas mask; GPS; local guide mandatory,4-5,BASARNAS Bondowoso,Gas inhalation; lost trail,Unknown,Low,2024
lawu,Lawu,East Java / Central Java border,Magetan (East Java) / Karanganyar (Central Java),3265,Cemoro Sewu (East Java side) / Cemoro Kandang (Central Java side) / Candi Cetho,"Cemoro Sewu: from Magetan via Sarangan (1h to basecamp, well-paved); Cemoro Kandang: from Solo/Karanganyar (2h)",Unknown,Unknown,Unknown,Unknown,~7 (via Cemoro Sewu),~14,6-8,4-5,5 (via Cemoro Sewu),Cemoro Sewu>Pos 1: ~1.5km/1h; Pos 1>Pos 2: ~1.5km/1h; Pos 2>Pos 3: ~1km/1h; Pos 3>Pos 4 (Sendang Drajat): ~1km/1h; Pos 4>Summit (Hargo Dumilah): ~2km/2h,Cemoro Sewu(~1800m)>Summit(3265m): ~1465m total,Pine forest (lower); mixed tropical forest; stone steps (upper sections); spiritual shrines along trail,Intermediate,Medium,Cold (-5°C at summit); altitude sickness; steep stone steps; dense fog; crowded on spiritual holidays (Suro night),"Stone stair sections above Pos 3: extremely steep, slippery when wet; summit area: exposed to wind",200,4-5,Car to Cemoro Sewu (well-paved road); parking available,"Basecamp registration (offline, 24/7)",Yes (Perhutani),open,15000 (2024 estimate),"Sendang Drajat spring (Pos 4, spiritual water source); carry water regardless","Pos 3 area; near Sendang Drajat; summit area (limited, cold)",Shelter huts at some pos,Telkomsel intermittent up to Pos 3; none above,Cemoro Sewu has warungs and toilet; Pos 1 toilet,Moderate,"Spiritual offering waste (incense, flowers, food) at summit shrines; trash from heavy visitor traffic; trail erosion on stone steps",Yes — Perhutani pine reforestation at lower elevations,High,Spiritual waste management (offering recycling); stone step maintenance; edelweiss protection; pine forest fire prevention,Year-round (busiest: Suro night/1 Muharram; quietest: weekday dry season),5,Sacred Javanese mountain; spiritual pilgrimage site; sunrise with sea of clouds; multiple Hindu-Javanese shrines; Sendang Drajat spiritual spring,High,3-season tent; 0°C sleeping bag; trekking poles; warm layers; headlamp; rain gear,3,SAR Cemoro Sewu basecamp post,Hypothermia; slips on wet stone steps; altitude sickness; exhaustion,Yes,High,2024
